instrument_type,symbol,scrip_name,scrip_code,isin,isin_reinvestment
Equity,ARCHITORG,ARCHIT ORGANOSYS LTD.,524640,INE078I01011,
Equity,ARCL,ARCL Organics Ltd,543993,INE372M01010,
Equity,AREXMIS,AREX INDUSTRIES LTD.,526851,INE480H01011,
Equity,ARIES,ARIES AGRO LTD.,532935,INE298I01015,
Equity,ARIHANTCAP,ARIHANT CAPITAL MARKETS LTD.,511605,INE420B01036,
Equity,ARIHANT,ARIHANT FOUNDATIONS & HOUSING LTD.-$,531381,INE413D01011,
Equity,ARISE,ARIHANT'S SECURITIES LTD.,531017,INE190D01015,
Equity,ARMANFIN,ARMAN FINANCIAL SERVICES LTD.,531179,INE109C01017,
Equity,AROGRANITE,ARO GRANITE INDUSTRIES LTD.-$,513729,INE210C01013,
Equity,ARTEFACT,ARTEFACT PROJECTS LTD.,531297,INE885B01014,
Equity,ARUNAHTEL,ARUNA HOTELS LTD.,500016,INE957C01019,
Equity,ARVIND,ARVIND LTD.,500101,INE034A01011,
Equity,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD.,530245,INE032E01017,
Equity,ASAHIINDIA,ASAHI INDIA GLASS LTD.,515030,INE439A01020,
Equity,ASAHISONG,ASAHI SONGWON COLORS LTD.,532853,INE228I01012,
Equity,ASHAPURMIN,ASHAPURA MINECHEM LTD.,527001,INE348A01023,
Equity,ASHAI,ASHIANA AGRO INDUSTRIES LTD.,519174,INE709D01012,
Equity,ASHIANA,ASHIANA HOUSING LTD.-$,523716,INE365D01021,
Equity,ASHIS,ASHIANA ISPAT LTD.,513401,INE587D01012,
Equity,ASHIMASYN,ASHIMA LTD.,514286,INE440A01010,
Equity,ASHCAP,ASHIRWAD CAPITAL LTD.,512247,INE894A01026,
Equity,ASHSI,ASHIRWAD STEELS & INDUSTRIES LTD.,526847,INE338C01012,
Equity,ASHISHPO,ASHISH POLYPLAST LTD.,530429,INE831C01016,
Equity,ASHNOOR,ASHNOOR TEXTILE MILLS LTD.,507872,INE372I01018,
Equity,ASHOKLEY,ASHOK LEYLAND LTD.,500477,INE208A01029,
Equity,ASHOKA,ASHOKA BUILDCON LTD.,533271,INE442H01029,
Equity,ASHOKRE,ASHOKA REFINERIES LTD.,526983,INE760M01016,
