date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price,qt,amt,remark,note
2022-01-04 00:00:00,SUZLON ENERGY LIMITED,212,NSE,EQ,532667,Equity,,,0,00:00:00,BUY,20,10.6,20,212,,
2022-01-04 00:00:00,SUZLON ENERGY LIMITED,816,NSE,EQ,532667,Equity,,,0,00:00:00,BUY,80,10.2,80,816,,
2022-01-04 00:00:00,URJA GLOBAL LIMITED,1140,NSE,EQ,526987,Equity,,,0,00:00:00,BUY,50,22.8,50,1140,,
2022-01-05 00:00:00,FCS SOFTWARE SOLN. LTD.,972,NSE,EQ,532666,Equity,,,0,00:00:00,BUY,150,6.48,150,972,,
2022-01-05 00:00:00,VIKAS LIFECARE LIMITED,460,NSE,EQ,542655,Equity,,,0,00:00:00,BUY,100,4.6,100,460,,
2022-01-06 00:00:00,BRIGHTCOM GROUP LIMITED,1500,NSE,EQ,532368,Equity,,,0,00:00:00,BUY,10,150,10,1500,,
2022-01-06 00:00:00,BRIGHTCOM GROUP LIMITED,6032,NSE,EQ,532368,Equity,,,0,00:00:00,BUY,40,150.8,40,6032,,
2022-01-06 00:00:00,BRIGHTCOM GROUP LIMITED,773,NSE,EQ,532368,Equity,,,0,00:00:00,BUY,5,154.6,5,773,,
2022-01-06 00:00:00,RATTANINDIA POWER LIMITED,43.8,NSE,EQ,533122,Equity,,,0,00:00:00,BUY,6,7.3,6,43.8,,
2022-01-06 00:00:00,RATTANINDIA POWER LIMITED,2175.6,NSE,EQ,533122,Equity,,,0,00:00:00,BUY,294,7.4,294,2175.6,,
2022-01-06 00:00:00,RATTANINDIA POWER LIMITED,44.4,NSE,EQ,533122,Equity,,,0,00:00:00,BUY,6,7.4,6,44.4,,
2022-01-06 00:00:00,SUZLON ENERGY LIMITED,96,NSE,EQ,532667,Equity,,,0,00:00:00,BUY,10,9.6,10,96,,
2022-01-06 00:00:00,SUZLON ENERGY LIMITED,96,NSE,EQ,532667,Equity,,,0,00:00:00,BUY,10,9.6,10,96,,
2022-01-06 00:00:00,SUZLON ENERGY LIMITED,97.5,NSE,EQ,532667,Equity,,,0,00:00:00,BUY,10,9.75,10,97.5,,
2022-01-06 00:00:00,SUZLON ENERGY LIMITED,388,NSE,EQ,532667,Equity,,,0,00:00:00,BUY,40,9.7,40,388,,
2022-01-06 00:00:00,TRIDENT LIMITED,533.5,NSE,EQ,521064,Equity,,,0,00:00:00,BUY,10,53.35,10,533.5,,
2022-01-06 00:00:00,TRIDENT LIMITED,1072,NSE,EQ,521064,Equity,,,0,00:00:00,BUY,20,53.6,20,1072,,
2022-01-07 00:00:00,RATTANINDIA POWER LIMITED,700.3,NSE,EQ,533122,Equity,,,0,00:00:00,BUY,94,7.45,94,700.3,,
2022-01-07 00:00:00,RATTANINDIA POWER LIMITED,750,NSE,EQ,533122,Equity,,,0,00:00:00,BUY,100,7.5,100,750,,
2022-01-07 00:00:00,SUZLON ENERGY LIMITED,105.5,NSE,EQ,532667,Equity,,,0,00:00:00,BUY,10,10.55,10,105.5,,
