datetime,exchange,segment,symbol,scrip_name,side,amount,quantity,price,expiry_date
2022-01-05 00:00:00,NSE,EQ,FCSSOFT,FCS SOFTWARE SOLN. LTD.,BUY,972.0,150.0,6.48,
2022-01-05 00:00:00,NSE,EQ,VIKASLIFE,VIKAS LIFECARE LIMITED,BUY,460.0,100.0,4.6,
2022-01-06 00:00:00,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,BUY,43.8,6.0,7.3,
2022-01-06 00:00:00,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,BUY,2220.0,300.0,7.4,
2022-01-06 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LIMITED,BUY,97.5,10.0,9.75,
2022-01-06 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LIMITED,BUY,192.0,20.0,9.6,
2022-01-06 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LIMITED,BUY,388.0,40.0,9.7,
2022-01-06 00:00:00,NSE,EQ,TRIDENT,TRIDENT LIMITED,BUY,533.5,10.0,53.35,
2022-01-06 00:00:00,NSE,EQ,TRIDENT,TRIDENT LIMITED,BUY,1072.0,20.0,53.6,
2022-01-07 00:00:00,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,BUY,700.3,94.0,7.45,
2022-01-07 00:00:00,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,BUY,750.0,100.0,7.5,
2022-01-07 00:00:00,NSE,EQ,SUZLON,SUZLON ENERGY LIMITED,BUY,105.5,10.0,10.55,
2022-01-10 00:00:00,NSE,EQ,VIJIFIN,VIJI FINANCE LIMITED,SELL,570.0,100.0,5.7,
2022-01-11 00:00:00,NSE,EQ,RPOWER,RELIANCE POWER LTD.,BUY,1377.0,90.0,15.3,
2022-01-21 00:00:00,NSE,EQ,GREENPOWER,ORIENT GREEN POWER CO LTD,BUY,4410.0,200.0,22.05,
2022-01-21 00:00:00,NSE,EQ,TRIDENT,TRIDENT LIMITED,BUY,649.0,10.0,64.9,
2022-01-21 09:49:01,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,BUY,92.4,12.0,7.7,
2022-01-24 00:00:00,NSE,EQ,TATAPOWER,TATA POWER CO LTD,BUY,2279.0,10.0,227.9,
2022-01-24 09:28:41,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,1019.5,10.0,101.95,
2022-01-24 09:50:01,NSE,EQ,WIPRO,WIPRO LTD.,BUY,2941.25,5.0,588.25,
2022-01-24 14:30:26,NSE,EQ,WIPRO,WIPRO LTD.,BUY,2863.75,5.0,572.75,
2022-01-24 14:30:28,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,931.0,10.0,93.1,
