,high_amount,moving_avg,forcast
2020-03-19,13692.83,1400.518076923077,
2020-03-20,13932.720000000001,1662.0071153846156,
2020-03-21,13932.720000000001,1923.499423076923,
2020-03-22,13932.720000000001,2185.0425,
2020-03-23,13315.550000000001,2434.7207692307693,
2020-03-24,11918.12,2657.5357692307693,
2020-03-25,12390.16,2889.4284615384613,
2020-03-26,13238.810000000001,3137.8323076923084,
2020-03-27,13178.27,3385.0688461538466,
2020-03-28,13178.27,3632.1757692307697,
2020-03-29,13178.27,3879.1105769230776,
2020-03-30,12273.130000000001,4108.610384615385,
2020-03-31,12273.060000000001,4338.108846153847,
2020-04-01,11921.369999999999,4560.844038461539,
2020-04-02,11921.369999999999,4783.619230769231,
2020-04-03,11740.98,5002.8755769230775,
2020-04-04,11740.98,5222.053846153847,
2020-04-05,11740.98,5441.217884615385,
2020-04-06,11740.98,5660.363846153846,
2020-04-07,11671.14,5878.1667307692305,
2020-04-08,11441.97,6091.5625,
2020-04-09,11735.37,6310.803653846155,
2020-04-10,11735.37,6530.0859615384625,
2020-04-11,11735.37,6747.344615384616,
2020-04-12,11735.37,6966.437307692308,
2020-04-13,11119.16,7173.679807692307,
2020-04-14,11119.16,7380.922307692308,
2020-04-15,10051.990000000002,7567.642307692308,
2020-04-16,10289.210000000001,7758.895961538462,
2020-04-17,10515.560000000001,7954.5630769230775,
2020-04-18,10515.560000000001,8150.1865384615385,
2020-04-19,10515.560000000001,8345.833846153848,
2020-04-20,10516.94,8541.791538461539,
2020-04-21,10244.98,8732.51923076923,
2020-04-22,10260.51,8923.545576923078,
2020-04-23,10980.189999999999,9128.465576923078,
2020-04-24,11395.68,9339.37673076923,
2020-04-25,11395.68,9550.299807692309,
2020-04-26,11395.68,9763.464615384615,
2020-04-27,10992.599999999999,9969.322692307693,
2020-04-28,10758.98,10170.688076923077,
2020-04-29,11169.670000000002,10379.951346153848,
2020-04-30,11169.93,10589.444038461537,
2020-05-01,11169.93,10798.936730769232,
2020-05-02,11169.93,11008.524807692309,
2020-05-03,11169.93,11218.60730769231,
2020-05-04,11049.13,11426.087307692309,
2020-05-05,11167.330000000002,11635.840384615383,
2020-05-06,10869.570000000002,11839.86730769231,
2020-05-07,11056.93,11775.236153846154,
2020-05-08,11188.990000000002,11715.713846153845,
2020-05-09,11188.990000000002,11648.72403846154,
2020-05-10,11188.990000000002,11600.573269230768,
2020-05-11,10714.4,11538.682499999999,
2020-05-12,10476.6,11472.218653846154,
2020-05-13,10903.59,11413.966153846155,
2020-05-14,10431.23,11358.498461538462,
2020-05-15,10413.95,11329.572115384615,
2020-05-16,10413.95,11291.568076923078,
2020-05-17,10413.95,11237.243846153848,
2020-05-18,10337.35,11182.610769230769,
2020-05-19,10328.289999999999,11127.803461538462,
2020-05-20,10476.48,11075.845961538462,
2020-05-21,10454.76,11040.877307692308,
2020-05-22,10444.73,11005.717115384616,
2020-05-23,10444.73,10977.320192307692,
2020-05-24,10444.73,10948.923269230772,
2020-05-25,10444.73,10923.995384615384,
2020-05-26,9910.54,10888.794615384615,
2020-05-27,9976.42,10854.860769230769,
2020-05-28,10291.7,10826.99,
2020-05-29,10364.81,10801.86826923077,
2020-05-30,10364.81,10781.153653846153,
2020-05-31,10364.81,10754.796730769232,
2020-06-01,10671.2,10734.331923076923,
2020-06-02,10964.36,10719.504807692309,
2020-06-03,11969.490000000002,10724.007115384618,
2020-06-04,12130.849999999999,10743.462692307694,
2020-06-05,12091.949999999999,10762.170192307693,
2020-06-06,12091.949999999999,10801.400192307694,
2020-06-07,12091.949999999999,10836.068269230771,
2020-06-08,12243.289999999999,10869.293846153847,
2020-06-09,11995.44,10897.753076923078,
2020-06-10,11828.419999999998,10923.000384615385,
2020-06-11,11654.46,10944.87576923077,
2020-06-12,11376.87,10966.642884615385,
2020-06-13,11376.87,10988.111346153846,
2020-06-14,11376.87,10995.739807692307,
2020-06-15,11459.84,10996.973653846155,
2020-06-16,11657.9,11002.016346153845,
2020-06-17,11191.960000000001,10998.098653846155,
2020-06-18,11300.94,11004.028269230768,
2020-06-19,11911.72,11026.196346153845,
2020-06-20,11911.72,11040.466538461538,
2020-06-21,11911.72,11054.731730769232,
2020-06-22,12784.92,11085.78923076923,
2020-06-23,13130.18,11123.486346153846,
2020-06-24,13293.52,11164.324615384616,
2020-06-25,12766.679999999998,11197.354423076922,
2020-06-26,12683.77,11226.51673076923,
2020-06-27,12683.77,11261.405192307691,
2020-06-28,12683.77,11292.690576923078,
2020-06-29,12385.490000000002,11315.700192307693,
2020-06-30,12384.93,11338.69903846154,
2020-07-01,12497.1,11363.855000000001,
2020-07-02,12588.980000000001,11399.904615384616,
2020-07-03,12937.09,11447.221730769232,
2020-07-04,12937.09,11486.327500000001,
2020-07-05,12937.09,11534.517115384615,
2020-07-06,13464.01,11593.172115384617,
2020-07-07,13860.41,11659.450192307691,
2020-07-08,13774.0,11724.066538461539,
2020-07-09,13473.69,11784.380769230771,
2020-07-10,13572.0,11846.759807692308,
2020-07-11,13572.0,11906.289038461538,
2020-07-12,13572.0,11966.235961538461,
2020-07-13,13539.859999999999,12025.757692307692,
2020-07-14,13288.03,12080.43653846154,
2020-07-15,13463.49,12138.489615384615,
2020-07-16,13806.41,12203.137307692308,
2020-07-17,25.799999999999272,12013.046153846155,
2020-07-18,25.799999999999272,11821.688076923077,
2020-07-19,25.799999999999272,11624.266923076922,
2020-07-20,25.889999999999418,11425.441538461539,
2020-07-21,27.040000000000873,11226.63826923077,
2020-07-22,26.959999999999127,11027.833461538461,
2020-07-23,26.790000000000873,10823.13326923077,
2020-07-24,26.600000000000364,10612.791730769231,
2020-07-25,26.600000000000364,10383.120769230767,
2020-07-26,26.600000000000364,10150.346730769232,
2020-07-27,26.26000000000022,9918.31423076923,
2020-07-28,26.209999999999127,9686.28076923077,
2020-07-29,26.540000000000873,9454.253653846154,
2020-07-30,26.860000000000582,9219.322307692308,
2020-07-31,26.1200000000008,8989.143076923077,
2020-08-01,26.1200000000008,8762.17576923077,
2020-08-02,26.1200000000008,8538.553846153845,
2020-08-03,26.270000000000437,8320.273076923077,
2020-08-04,25.68000000000029,8101.980961538462,
2020-08-05,25.850000000000364,7883.692115384616,
2020-08-06,25.899999999999636,7663.808653846154,
2020-08-07,25.950000000000728,7440.117307692307,
2020-08-08,25.950000000000728,7225.386346153847,
2020-08-09,25.950000000000728,7008.559615384616,
2020-08-10,26.389999999999418,6779.995576923076,
2020-08-11,26.659999999999854,6551.436730769231,
2020-08-12,26.69000000000051,6322.878461538461,
2020-08-13,26.899999999999636,6077.531923076923,
2020-08-14,26.920000000000073,5825.546153846154,
2020-08-15,26.920000000000073,5570.41923076923,
2020-08-16,26.920000000000073,5325.423846153846,
2020-08-17,26.75,5082.0196153846155,
2020-08-18,26.98999999999978,4838.620000000001,
2020-08-19,27.19000000000051,4595.22423076923,
2020-08-20,27.350000000000364,4357.567692307693,
2020-08-21,27.780000000000655,4119.930192307693,
2020-08-22,27.780000000000655,3880.135576923077,
2020-08-23,27.780000000000655,3638.5740384615387,
2020-08-24,28.090000000000146,3390.3240384615387,
2020-08-25,27.73999999999978,3142.0673076923076,
2020-08-26,29.100000000000364,2893.836730769231,
2020-08-27,27.549999999999272,2635.443269230769,
2020-08-28,28.100000000000364,2369.437307692308,
2020-08-29,28.100000000000364,2105.093076923077,
2020-08-30,28.100000000000364,1846.5240384615388,
2020-08-31,28.48999999999978,1586.0719230769232,
2020-09-01,27.420000000000073,1325.5992307692309,
2020-09-02,27.270000000000437,1065.123653846154,
2020-09-03,27.299999999999272,805.266730769231,
2020-09-04,26.98999999999978,550.2467307692309,
2020-09-05,26.98999999999978,291.85250000000013,
2020-09-06,26.98999999999978,26.863653846153984,
2020-09-07,27.0,26.88673076923092,
2020-09-08,26.700000000000728,26.90403846153864,
2020-09-09,26.19000000000051,26.911538461538665,
2020-09-10,26.0,26.91365384615406,
2020-09-11,26.200000000000728,26.89750000000021,
2020-09-12,26.200000000000728,26.882884615384857,
2020-09-13,26.200000000000728,26.8715384615387,
2020-09-14,26.399999999999636,26.867692307692533,
2020-09-15,26.100000000000364,26.85807692307715,
2020-09-16,3828.1800000000003,99.96538461538483,
2020-09-17,25.700000000000728,99.95461538461562,
2020-09-18,25.69000000000051,99.94461538461564,
2020-09-19,25.69000000000051,99.92826923076949,
2020-09-20,25.69000000000051,99.90576923076948,
2020-09-21,25.5,99.8938461538464,
2020-09-22,25.389999999999418,99.8798076923079,
2020-09-23,24.600000000000364,99.85057692307713,
2020-09-24,24.200000000000728,99.81076923076944,
2020-09-25,24.1200000000008,99.78076923076945,
2020-09-26,24.1200000000008,99.74750000000023,
2020-09-27,24.1200000000008,99.71326923076948,
2020-09-28,25.0,99.69500000000023,
2020-09-29,24.979999999999563,99.67634615384637,
2020-09-30,24.459999999999127,99.6476923076925,
2020-10-01,24.5,99.61134615384634,
2020-10-02,24.5,99.56980769230789,
2020-10-03,24.5,99.52769230769249,
2020-10-04,24.5,99.48153846153865,
2020-10-05,25.200000000000728,99.44846153846174,
2020-10-06,24.98999999999978,99.41134615384635,
2020-10-07,24.360000000000582,99.36211538461559,
2020-10-08,24.200000000000728,99.31307692307715,
2020-10-09,24.399999999999636,99.26326923076945,
2020-10-10,24.399999999999636,99.20961538461559,
2020-10-11,24.399999999999636,99.1528846153848,
2020-10-12,24.80999999999949,99.09576923076939,
2020-10-13,24.360000000000582,99.03000000000017,
2020-10-14,24.5,98.96692307692322,
2020-10-15,24.150000000001455,98.89115384615403,
2020-10-16,24.11999999999898,98.82153846153862,
2020-10-17,24.11999999999898,98.72576923076937,
2020-10-18,24.11999999999898,98.65980769230782,
2020-10-19,24.590000000000146,98.59230769230781,
2020-10-20,24.599999999998545,98.52500000000009,
2020-10-21,24.979999999999563,98.46500000000007,
2020-10-22,24.9900000000016,98.39769230769242,
2020-10-23,25.18000000000029,98.3546153846155,
2020-10-24,25.18000000000029,98.31442307692319,
2020-10-25,25.18000000000029,98.27365384615398,
2020-10-26,25.200000000000728,98.23923076923091,
2020-10-27,25.090000000000146,98.20269230769246,
2020-10-28,25.1200000000008,98.16673076923095,
2020-10-29,24.94000000000051,98.12711538461556,
2020-10-30,24.899999999999636,98.09250000000017,
2020-10-31,24.899999999999636,98.06769230769245,
2020-11-01,24.899999999999636,98.0465384615386,
2020-11-02,25.0,98.02346153846166,
2020-11-03,26.0,98.01961538461549,
2020-11-04,25.26000000000022,98.00153846153856,
2020-11-05,26.0,97.99384615384626,
2020-11-06,26.389999999999418,97.99942307692316,
2020-11-07,26.389999999999418,24.888076923076998,
2020-11-08,26.389999999999418,24.901346153846205,
2020-11-09,26.43000000000029,24.91557692307697,
2020-11-10,27.299999999999272,24.946538461538484,
2020-11-11,28.0,24.99096153846155,
2020-11-12,28.48999999999978,25.048461538461545,
2020-11-13,28.5,25.10826923076925,
2020-11-14,28.450000000000728,25.18230769230772,
2020-11-15,28.450000000000728,25.264038461538487,
2020-11-16,28.450000000000728,25.347307692307716,
2020-11-17,28.649999999999636,25.43442307692308,
2020-11-18,28.770000000000437,25.52384615384615,
2020-11-19,29.399999999999636,25.608461538461526,
2020-11-20,28.790000000000873,25.681730769230782,
2020-11-21,28.790000000000873,25.765000000000047,
2020-11-22,28.790000000000873,25.847500000000064,
2020-11-23,29.889999999999418,25.9511538461539,
2020-11-24,29.5,26.047307692307747,
2020-11-25,29.5,26.14346153846159,
2020-11-26,29.25,26.22134615384619,
2020-11-27,29.610000000000582,26.31019230769236,
2020-11-28,29.610000000000582,26.4111538461539,
2020-11-29,29.610000000000582,26.51519230769236,
2020-11-30,29.610000000000582,26.615384615384684,
2020-12-01,29.649999999999636,26.716346153846224,
2020-12-02,30.049999999999272,26.825000000000063,
2020-12-03,30.3700000000008,26.931923076923166,
2020-12-04,30.649999999999636,27.052884615384684,
2020-12-05,30.649999999999636,27.17115384615391,
2020-12-06,30.649999999999636,27.296153846153874,
2020-12-07,31.200000000000728,27.432307692307752,
2020-12-08,31.290000000000873,27.570192307692405,
2020-12-09,31.389999999999418,27.710000000000107,
2020-12-10,31.25,27.838076923077026,
2020-12-11,32.0,27.980384615384747,
2020-12-12,32.0,28.115384615384755,
2020-12-13,32.0,28.250192307692416,
2020-12-14,32.45000000000073,28.390000000000118,
2020-12-15,32.45000000000073,28.52980769230782,
2020-12-16,32.45000000000073,28.66961538461552,
2020-12-17,32.340000000000146,28.8069230769232,
2020-12-18,32.20000000000073,28.943653846153982,
2020-12-19,32.20000000000073,29.079807692307824,
2020-12-20,32.20000000000073,29.219423076923214,
2020-12-21,32.20000000000073,29.35980769230785,
2020-12-22,30.899999999999636,29.475192307692467,
2020-12-23,6610.200000000001,156.1155769230771,
2020-12-24,20651.14,552.7721153846155,
2020-12-25,20651.14,949.4094230769232,
2020-12-26,20651.14,1346.0609615384617,
2020-12-27,20651.14,1742.6982692307693,
2020-12-28,21476.39,2155.1982692307693,
2020-12-29,19429.7,2528.338846153846,
2020-12-30,18520.5,2883.994807692308,
2020-12-31,18525.15,3239.7394230769232,
2021-01-01,17883.550000000003,3583.1288461538466,
2021-01-02,17883.550000000003,3926.504807692308,
2021-01-03,17883.550000000003,4269.871346153846,
2021-01-04,17401.15,4603.96076923077,
2021-01-05,16868.39,4927.805769230769,
2021-01-06,16586.89,5246.237307692309,
2021-01-07,16118.2,5555.655576923076,
2021-01-08,16113.349999999999,5864.976730769232,
2021-01-09,16113.349999999999,6174.295576923077,
2021-01-10,16113.349999999999,6483.6023076923075,
2021-01-11,16014.009999999998,6791.010384615384,
2021-01-12,15532.869999999999,7089.165769230769,
2021-01-13,15289.45,7382.639999999999,
2021-01-14,15341.09,7677.086153846155,
2021-01-15,15839.45,7981.123653846154,
2021-01-16,15839.45,8285.161153846155,
2021-01-17,15839.45,8589.203461538462,
2021-01-18,15602.04,8888.673269230769,
2021-01-19,15282.099999999999,9181.990384615385,
2021-01-20,15137.989999999998,9472.536153846155,
2021-01-21,14880.04,9758.121346153846,
2021-01-22,14739.25,10040.99826923077,
2021-01-23,14739.25,10323.8675,
2021-01-24,14739.25,10606.730576923077,
2021-01-25,13800.739999999998,10871.539999999999,
2021-01-26,13800.739999999998,11136.349423076921,
2021-01-27,13634.98,11397.971153846154,
2021-01-28,13485.29,11656.703653846153,
2021-01-29,13426.849999999999,11914.310576923075,
2021-01-30,13426.849999999999,12171.915576923078,
2021-01-31,13426.849999999999,12429.52326923077,
2021-02-01,13171.95,12682.214615384615,
2021-02-02,14089.18,12952.545000000002,
2021-02-03,14440.309999999998,13229.627884615385,
2021-02-04,14605.79,13509.884423076923,
2021-02-05,14707.82,13792.103076923077,
2021-02-06,14707.82,14074.32173076923,
2021-02-07,14707.82,14356.5425,
2021-02-08,14536.09,14635.463461538464,
2021-02-09,14254.380000000001,14908.966923076923,
2021-02-10,13748.7,15172.745769230769,
2021-02-11,13576.73,15433.217499999999,
2021-02-12,13676.64,15695.635576923078,
2021-02-13,13676.64,15831.528653846153,
2021-02-14,13676.64,15697.403653846153,
2021-02-15,13626.809999999998,15562.320384615383,
2021-02-16,13561.75,15425.985961538461,
2021-02-17,13367.61,15285.918076923077,
2021-02-18,14127.95,15144.601923076923,
2021-02-19,14432.099999999999,15048.494230769229,
2021-02-20,14432.099999999999,14969.871153846152,
2021-02-21,14432.099999999999,14891.158653846154,
2021-02-22,14012.689999999999,14816.719038461539,
2021-02-23,14331.5,14748.410384615385,
2021-02-24,14211.769999999997,14677.799230769231,
2021-02-25,14180.25,14615.858846153847,
2021-02-26,14054.300000000003,14561.74173076923,
2021-02-27,14054.300000000003,14513.038076923076,
2021-02-28,14054.300000000003,14473.347692307692,
2021-03-01,13956.599999999999,14431.871730769231,
2021-03-02,13800.39,14387.39173076923,
2021-03-03,14025.900000000001,14347.24846153846,
2021-03-04,13786.05,14304.403076923076,
2021-03-05,13801.59,14271.109230769229,
2021-03-06,13801.59,14242.496538461539,
2021-03-07,13801.59,14212.890769230771,
2021-03-08,13674.849999999999,14171.263846153846,
2021-03-09,13697.25,14130.067692307694,
2021-03-10,13499.190000000002,14085.06269230769,
2021-03-11,13499.190000000002,14044.62326923077,
2021-03-12,13466.990000000002,14009.717307692306,
2021-03-13,13466.990000000002,13977.582692307691,
2021-03-14,13466.990000000002,13950.408653846154,
2021-03-15,13177.940000000002,13920.383461538462,
2021-03-16,13160.400000000001,13890.020961538463,
2021-03-17,12991.800000000003,13856.416153846154,
2021-03-18,12781.79,13836.820961538462,
2021-03-19,12148.060000000001,13805.038653846153,
2021-03-20,12148.060000000001,13776.444038461537,
2021-03-21,12148.060000000001,13750.728076923077,
2021-03-22,12271.239999999998,13728.50480769231,
2021-03-23,12269.400000000001,13706.246153846152,
2021-03-24,12098.79,13680.706538461538,
2021-03-25,12041.79,13658.972692307694,
2021-03-26,11823.34,13615.398846153847,
2021-03-27,11823.34,13565.0725,
2021-03-28,11823.34,13511.563846153847,
2021-03-29,11823.34,13456.093076923078,
2021-03-30,12089.989999999998,13405.750192307692,
2021-03-31,12090.3,13355.413269230768,
2021-04-01,11944.349999999999,13305.572115384615,
2021-04-02,11944.349999999999,13261.148461538462,
2021-04-03,11944.349999999999,13226.449423076923,
2021-04-04,11944.349999999999,13195.057499999999,
2021-04-05,11959.650000000001,13162.038461538461,
2021-04-06,12780.8,13144.81076923077,
2021-04-07,12904.550000000003,13129.962884615383,
2021-04-08,12785.949999999997,13113.792500000001,
2021-04-09,12665.489999999998,13096.556730769233,
2021-04-10,12665.489999999998,13083.054423076925,
2021-04-11,12665.489999999998,13054.930192307693,
2021-04-12,12140.45,13010.859999999999,
2021-04-13,12083.61,12965.69673076923,
2021-04-14,12083.61,12920.533461538462,
2021-04-15,11994.75,12881.726923076923,
2021-04-16,12579.07,12848.026346153845,
2021-04-17,12579.07,12816.628269230769,
2021-04-18,12579.07,12785.836346153847,
2021-04-19,12165.89,12749.52076923077,
2021-04-20,12614.150000000001,12721.825576923076,
2021-04-21,12614.150000000001,12694.130384615386,
2021-04-22,12614.050000000003,12668.312115384615,
2021-04-23,12746.75,12648.049807692307,
2021-04-24,12746.75,12623.45076923077,
2021-04-25,12746.75,12603.46423076923,
2021-04-26,12777.830000000002,12583.776538461538,
2021-04-27,12637.580000000002,12561.391730769234,
2021-04-28,12725.34,12540.694615384615,
2021-04-29,12610.400000000001,12520.224423076925,
2021-04-30,12610.630000000001,12499.327884615386,
2021-05-01,12610.630000000001,12482.240192307694,
2021-05-02,12610.630000000001,12465.1525,
2021-05-03,12407.48,12444.777307692308,
2021-05-04,12442.220000000001,12425.070192307692,
2021-05-05,12390.89,12404.375961538462,
2021-05-06,13598.7,12412.467499999999,
2021-05-07,14013.239999999998,12428.868269230767,
2021-05-08,14013.239999999998,12448.511346153848,
2021-05-09,14013.239999999998,12472.193076923078,
2021-05-10,13945.550000000003,12506.760192307693,
2021-05-11,13666.099999999999,12535.953269230768,
2021-05-12,13932.699999999997,12570.27326923077,
2021-05-13,13932.699999999997,12602.224423076921,
2021-05-14,13888.2,12633.355192307694,
2021-05-15,13888.2,12667.766923076922,
2021-05-16,13888.2,12703.274807692305,
2021-05-17,13612.39,12737.679615384615,
2021-05-18,14506.550000000003,12789.279807692308,
2021-05-19,14283.14,12836.583653846154,
2021-05-20,14061.45,12879.62423076923,
2021-05-21,13954.84,12915.48673076923,
2021-05-22,13954.84,12951.34326923077,
2021-05-23,13954.84,12990.006538461537,
2021-05-24,14187.3,13033.140192307694,
2021-05-25,14570.720000000001,13083.647307692308,
2021-05-26,15005.349999999999,13142.512692307693,
2021-05-27,14988.150000000001,13200.753076923078,
2021-05-28,14644.739999999998,13236.598076923077,
2021-05-29,14644.739999999998,13270.06326923077,
2021-05-30,14644.739999999998,13305.80923076923,
2021-05-31,14644.739999999998,13343.87173076923,
2021-06-01,14696.34,13382.926538461537,
2021-06-02,14569.0,13419.5325,
2021-06-03,14626.130000000001,13467.334038461539,
2021-06-04,14743.43,13518.484423076925,
2021-06-05,14743.43,13569.634807692308,
2021-06-06,14743.43,13622.49403846154,
2021-06-07,15281.95,13674.4725,
2021-06-08,15564.010000000002,13731.875192307692,
2021-06-09,15371.34,13785.572692307693,
2021-06-10,14706.150000000001,13834.423846153844,
2021-06-11,14740.650000000001,13875.318076923075,
2021-06-12,14740.650000000001,13916.212307692309,
2021-06-13,14740.650000000001,13957.108461538463,
2021-06-14,14519.349999999999,13991.196923076923,
2021-06-15,14635.940000000002,14027.5275,
2021-06-16,14560.169999999998,14062.40096153846,
2021-06-17,14374.190000000002,14093.100192307695,
2021-06-18,14229.310000000001,14123.710384615384,
2021-06-19,14229.310000000001,14152.632884615385,
2021-06-20,14229.310000000001,14183.765769230768,
2021-06-21,14100.43,14212.415769230769,
2021-06-22,14229.440000000002,14243.546730769229,
2021-06-23,14163.900000000001,14273.417307692307,
2021-06-24,14074.59,14305.477115384614,
2021-06-25,14009.900000000001,14335.624807692308,
2021-06-26,14009.900000000001,14366.759615384615,
2021-06-27,14009.900000000001,14374.667307692309,
2021-06-28,13994.5,14374.306923076925,
2021-06-29,14164.5,14377.215769230768,
2021-06-30,14164.54,14380.125384615385,
2021-07-01,13940.77,14380.033461538462,
2021-07-02,13954.54,14385.580384615385,
2021-07-03,13954.54,14386.000384615385,
2021-07-04,13954.54,14386.420384615385,
2021-07-05,14508.080000000002,14398.341153846153,
2021-07-06,14797.080000000002,14415.819615384615,
2021-07-07,14348.599999999999,14424.673461538461,
2021-07-08,14662.96,14444.876730769232,
2021-07-09,14456.440000000002,14443.913076923076,
2021-07-10,14456.440000000002,14447.245769230769,
2021-07-11,14456.440000000002,14454.84173076923,
2021-07-12,14643.900000000001,14468.092884615386,
2021-07-13,15557.64,14498.915961538461,
2021-07-14,15620.38,14530.945576923077,
2021-07-15,16099.350000000002,14567.715769230768,
2021-07-16,16422.579999999998,14603.32846153846,
2021-07-17,16422.579999999998,14630.582884615385,
2021-07-18,16422.579999999998,14658.168076923077,
2021-07-19,16772.789999999997,14699.092115384616,
2021-07-20,16741.28,14739.410192307694,
2021-07-21,16741.28,14779.728269230769,
2021-07-22,17298.280000000002,14830.757884615385,
2021-07-23,17333.250000000004,14881.467692307693,
2021-07-24,17333.250000000004,14934.626346153847,
2021-07-25,17333.250000000004,14986.686346153847,
2021-07-26,17202.89,15033.983653846155,
2021-07-27,17112.66,15079.545769230772,
2021-07-28,16947.889999999996,15121.939230769232,
2021-07-29,16694.62,15149.105961538464,
2021-07-30,16389.57,15164.982115384617,
2021-07-31,16389.57,15184.563461538462,
2021-08-01,16389.57,15216.936923076924,
2021-08-02,16517.579999999998,15251.108653846155,
2021-08-03,16342.320000000003,15281.910000000002,
2021-08-04,16513.84,15316.009807692308,
2021-08-05,17374.28,15370.91230769231,
2021-08-06,17380.579999999998,15423.693846153845,
2021-08-07,17380.579999999998,15477.932499999999,
2021-08-08,17380.579999999998,15535.747692307692,
2021-08-09,17262.48,15594.077884615386,
2021-08-10,16981.879999999997,15647.011923076923,
2021-08-11,16541.210000000003,15691.47153846154,
2021-08-12,16654.989999999998,15740.597692307692,
2021-08-13,16758.18,15789.227307692308,
2021-08-14,16758.18,15839.117307692308,
2021-08-15,16758.18,15890.72480769231,
2021-08-16,16527.47,15939.139615384616,
2021-08-17,26774.28,16184.608461538463,
2021-08-18,26551.39,16425.790961538463,
2021-08-19,26551.39,16667.269615384615,
2021-08-20,31212.57,16995.117115384615,
2021-08-21,31212.57,17322.963846153845,
2021-08-22,31212.57,17655.113846153847,
2021-08-23,31098.260000000002,17984.80076923077,
2021-08-24,30589.08,18304.69576923077,
2021-08-25,30386.86,18620.701923076922,
2021-08-26,29848.859999999997,18915.716923076925,
2021-08-27,29466.79,19197.82673076923,
2021-08-28,29466.79,19488.561153846156,
2021-08-29,29466.79,19773.250192307692,
2021-08-30,30355.460000000003,20079.000576923077,
