datetime,exchange,segment,symbol,scrip_name,side,amount,quantity,price,expiry_date
2021-12-29 00:00:00,NSE,EQ,JPPOWER,Jaiprakash Power Ventures Limited,BUY,332.5,50,6.65,
2022-05-25 00:00:00,NSE,EQ,JPPOWER,Jaiprakash Power Ventures Limited,SELL,700.0,100,7.0,
2024-06-21 00:00:00,NSE,EQ,KNRCON,KNR CONSTRUCTIONS LTD.,BUY,2824.0,8,353.0,
2021-12-27 00:00:00,NSE,EQ,KPEL,K.P. Energy Ltd,BUY,4742.0,40,118.55,
2021-12-31 00:00:00,NSE,EQ,KPEL,K.P. Energy Ltd,BUY,2283.0,20,114.15,
2024-02-12 00:00:00,NSE,EQ,KPEL,K.P. Energy Ltd,BUY,0.0,120,0.0,
2021-12-31 00:00:00,NSE,EQ,KPITTECH,KPIT Technologies Ltd,BUY,6123.0,10,612.3,
2022-01-28 00:00:00,NSE,EQ,KPITTECH,KPIT Technologies Ltd,BUY,6411.0,10,641.1,
2021-11-15 00:00:00,NSE,EQ,LLOYDSENGG,Lloyds Engineering Works Ltd,BUY,24.9,3,8.3,
2021-11-22 00:00:00,NSE,EQ,LLOYDSENGG,Lloyds Engineering Works Ltd,BUY,67.55,7,9.65,
2021-11-24 00:00:00,NSE,EQ,LLOYDSENGG,Lloyds Engineering Works Ltd,BUY,996.3,90,11.07,
2021-11-29 00:00:00,NSE,EQ,LLOYDSENGG,Lloyds Engineering Works Ltd,BUY,18750.0,1500,12.5,
2022-02-28 00:00:00,NSE,EQ,LLOYDSENGG,Lloyds Engineering Works Ltd,SELL,126.2,10,12.62,
2022-02-28 00:00:00,NSE,EQ,LLOYDSENGG,Lloyds Engineering Works Ltd,SELL,12503.7,990,12.63,
2022-05-09 00:00:00,NSE,EQ,LLOYDSENGG,Lloyds Engineering Works Ltd,SELL,2766.0,200,13.83,
2022-05-09 00:00:00,NSE,EQ,LLOYDSENGG,Lloyds Engineering Works Ltd,SELL,4230.0,300,14.1,
2024-01-25 00:00:00,NSE,EQ,LLOYDSENGG,Lloyds Engineering Works Ltd,BUY,0.0,5,0.0,
2021-10-26 00:00:00,NSE,EQ,PNB,PUNJAB NATIONAL BANK,BUY,90.7,2,45.35,
