Date,Open,High,Low,Close,Adj Close,Volume
2021-02-11,161.169998,162.639999,160.940002,162.059998,162.059998,1130555
2021-02-12,162.350006,162.699997,161.300003,162.169998,162.169998,1471633
2021-02-15,163.169998,165.000000,159.750000,163.929993,163.929993,1390282
2021-02-16,169.880005,169.880005,162.710007,163.539993,163.539993,2808707
2021-02-17,164.979996,164.979996,162.009995,162.589996,162.589996,1633793
2021-02-18,172.589996,172.589996,161.570007,161.889999,161.889999,1466832
2021-02-19,161.570007,164.190002,159.550003,160.419998,160.419998,1924382
2021-02-22,160.750000,162.190002,156.710007,157.179993,157.179993,4266735
2021-02-23,158.690002,164.600006,157.100006,157.589996,157.589996,3376578
2021-02-24,157.589996,163.850006,157.100006,160.149994,160.149994,1694856
2021-02-25,161.460007,162.389999,160.820007,161.869995,161.869995,2078898
2021-02-26,157.000000,163.619995,154.550003,156.149994,156.149994,6394687
2021-03-01,161.990005,161.990005,156.800003,158.009995,158.009995,2262115
2021-03-02,159.410004,159.990005,158.009995,159.570007,159.570007,1674905
2021-03-03,161.139999,163.309998,160.389999,162.979996,162.979996,2774589
2021-03-04,165.000000,165.000000,160.000000,161.199997,161.199997,1760533
2021-03-05,160.330002,161.179993,158.300003,159.660004,159.660004,2004187
2021-03-08,163.639999,183.600006,159.660004,160.039993,160.039993,1419094
2021-03-09,161.179993,161.800003,159.850006,161.470001,161.470001,1483026
2021-03-10,164.940002,164.940002,161.559998,162.160004,162.160004,1026447
2021-03-12,163.990005,163.990005,159.889999,160.630005,160.630005,2695163
2021-03-15,161.000000,161.009995,158.100006,159.960007,159.960007,2726411
2021-03-16,163.190002,164.600006,159.000000,159.789993,159.789993,1194883
2021-03-17,183.479996,183.479996,157.520004,157.880005,157.880005,2020012
2021-03-18,159.490005,159.490005,155.309998,156.119995,156.119995,2566012
2021-03-19,158.589996,158.589996,153.860001,157.869995,157.869995,2989141
2021-03-22,178.880005,178.880005,137.300003,157.330002,157.330002,2249076
2021-03-23,178.479996,178.479996,157.160004,158.350006,158.350006,2196154
2021-03-24,174.880005,174.880005,155.910004,156.089996,156.089996,2880134
2021-03-25,156.529999,156.550003,153.250000,153.860001,153.860001,4619262
2021-03-26,183.479996,183.479996,154.110001,155.210007,155.210007,3133917
2021-03-30,179.880005,179.880005,153.809998,158.419998,158.419998,3007505
2021-03-31,177.479996,177.479996,156.800003,157.160004,157.160004,1770531
2021-04-01,137.050003,177.000000,137.050003,158.699997,158.699997,1753952
2021-04-05,156.009995,174.000000,155.009995,156.960007,156.960007,3825031
2021-04-06,152.300003,159.979996,152.100006,157.389999,157.389999,1679649
2021-04-07,159.399994,159.399994,155.610001,158.820007,158.820007,1490166
2021-04-08,159.800003,160.000000,154.100006,158.869995,158.869995,1387673
2021-04-09,159.600006,159.600006,158.100006,158.779999,158.779999,919771
2021-04-12,179.880005,179.880005,150.100006,154.080002,154.080002,6958023
2021-04-13,174.880005,174.880005,153.449997,155.500000,155.500000,2306251
2021-04-15,174.880005,174.880005,152.410004,155.929993,155.929993,1757440
2021-04-16,154.949997,157.179993,154.449997,156.419998,156.419998,1128520
2021-04-19,156.179993,156.229996,151.770004,154.089996,154.089996,2725967
2021-04-20,132.000000,156.490005,132.000000,153.289993,153.289993,2219957
2021-04-22,169.830002,169.830002,151.919998,154.270004,154.270004,1575936
2021-04-23,161.000000,161.000000,151.250000,153.860001,153.860001,1497148
2021-04-26,158.399994,158.399994,153.910004,155.169998,155.169998,1445359
2021-04-27,163.000000,163.000000,152.350006,156.830002,156.830002,1034413
2021-04-28,158.639999,159.089996,155.360001,158.899994,158.899994,1587740
2021-04-29,161.139999,161.139999,157.809998,159.100006,159.100006,1997771
2021-04-30,157.940002,158.679993,155.149994,157.000000,157.000000,1610283
2021-05-03,156.490005,157.419998,154.559998,156.970001,156.970001,1531614
2021-05-04,164.000000,164.000000,155.149994,155.550003,155.550003,1378826
2021-05-05,158.899994,158.899994,151.350006,156.809998,156.809998,1411068
2021-05-06,163.500000,163.500000,156.199997,157.539993,157.539993,1048532
