username,scrip_name,symbol,exchange,segment,datetime,side,quantity,price,amount
ptprashanttripathi,BAJAJ HOUSING FINANCE LIMITED,BAJAJHFL,NSE,EQ,2024-09-13 00:00:00,BUY,214.0,70.0,14980.0
ptprashanttripathi,INDIAN RAILWAY CATERING AND TO,IRCTC,NSE,EQ,2024-06-04 12:19:21,BUY,3.0,896.2,2688.6
ptprashanttripathi,KPIT TECHNOLOGIES LTD,KPITTECH,NSE,EQ,2024-06-13 13:58:03,BUY,2.0,1500.0,3000.0
ptprashanttripathi,TATA MOTORS,TATAMOTORS,NSE,EQ,2020-04-21 14:41:30,BUY,14.0,75.1,1051.4
ptprashanttripathi,TATA MOTORS,TATAMOTORS,NSE,EQ,2020-05-04 14:33:45,BUY,5.0,83.8,419.0
ptprashanttripathi,TATA MOTORS,TATAMOTORS,NSE,EQ,2020-07-03 13:31:19,BUY,15.0,104.0,1560.0
ptprashanttripathi,TATA MOTORS,TATAMOTORS,NSE,EQ,2021-04-12 10:44:33,BUY,26.0,295.0,7670.0
ptprashanttripathi,TATA MOTORS,TATAMOTORS,NSE,EQ,2022-05-11 11:50:35,BUY,40.0,385.0,15400.0
ptprashanttripathi,TATA POWER,TATAPOWER,NSE,EQ,2021-02-08 11:39:33,BUY,53.0,90.0,4770.0
ptprashanttripathi,TATA POWER,TATAPOWER,NSE,EQ,2021-02-22 11:44:35,BUY,33.0,90.0,2970.0
ptprashanttripathi,TATA POWER,TATAPOWER,NSE,EQ,2022-05-11 11:58:14,BUY,64.0,224.75,14384.0
ptprashanttripathi,UNITD SPR,UNITDSPR,NSE,EQ,2024-11-19 11:48:42,BUY,30.0,1495.0,44850.0
ptprashanttripathi,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-05-24 00:00:00,BUY,20.51,48.77,1000.27
ptprashanttripathi,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-07-02 00:00:00,BUY,19.29,51.84,999.99
ptprashanttripathi,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-08-02 00:00:00,BUY,18.61,53.74,1000.1
ptprashanttripathi,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-09-02 00:00:00,BUY,18.2,54.94,999.91
ptprashanttripathi,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-10-03 00:00:00,BUY,18.22,54.89,1000.1
ptprashanttripathi,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-11-04 00:00:00,BUY,19.18,52.15,1000.24
ptprashanttripathi,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-12-02 00:00:00,BUY,18.68,53.53,999.94
ptprashanttripathi,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-01-02 00:00:00,BUY,18.76,53.31,1000.1
ptprashanttripathi,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-02-06 00:00:00,BUY,19.7,50.77,1000.17
ptprashanttripathi,MIRAE ASSET TAX SAVER FUND - D,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-03-03 00:00:00,BUY,21.36,46.82,1000.08
ptprashanttripathi,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-05-24 00:00:00,BUY,2.33,428.89,999.31
ptprashanttripathi,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-07-02 00:00:00,BUY,2.2,455.11,1001.24
ptprashanttripathi,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-08-02 00:00:00,BUY,2.11,474.32,1000.82
ptprashanttripathi,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-09-02 00:00:00,BUY,2.08,481.11,1000.71
ptprashanttripathi,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-10-03 00:00:00,BUY,2.07,482.09,997.93
ptprashanttripathi,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-11-04 00:00:00,BUY,2.16,462.44,998.87
ptprashanttripathi,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2024-12-02 00:00:00,BUY,2.15,466.15,1002.22
ptprashanttripathi,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-01-02 00:00:00,BUY,2.15,464.34,998.33
ptprashanttripathi,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-02-06 00:00:00,BUY,2.24,447.11,1001.53
ptprashanttripathi,SBI MAGNUM TAX GAIN SCHEME - D,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,BMF,MF,2025-03-03 00:00:00,BUY,2.4,415.9,998.16
