Scrip Name,ISIN No,ISIN Reinvestment,Instrument Type
Franklin India Banking & PSU Debt Fund - Direct - Growth,INF090I01KR8,,Mutual Fund
Franklin India Banking & PSU Debt Fund - Growth,INF090I01KO5,,Mutual Fund
Franklin India Banking and PSU Debt Fund - Direct - IDCW,INF090I01KS6,INF090I01KT4,Mutual Fund
Franklin India Banking and PSU Debt Fund - IDCW,INF090I01KP2,INF090I01KQ0,Mutual Fund
HDFC Mutual Fund,,,Mutual Fund
HDFC Banking and PSU Debt Fund - Growth Option,INF179KA1JC4,,Mutual Fund
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,INF179KA1IZ7,,Mutual Fund
HDFC Banking and PSU Debt Fund - IDCW Option,INF179KA1JD2,INF179KA1JE0,Mutual Fund
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,INF179KA1JA8,INF179KA1JB6,Mutual Fund
HSBC Mutual Fund,,,Mutual Fund
HSBC Banking and PSU Debt Fund - Direct Daily IDCW,,INF917K01HL7,Mutual Fund
HSBC Banking and PSU Debt Fund - Direct Growth,INF917K01HH5,,Mutual Fund
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,INF917K01HJ1,INF917K01HI3,Mutual Fund
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,,INF917K01HK9,Mutual Fund
HSBC Banking and PSU Debt Fund - Regular Daily IDCW,,INF677K01AF4,Mutual Fund
HSBC Banking and PSU Debt Fund - Regular Growth,INF677K01AE7,,Mutual Fund
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,INF677K01AI8,INF677K01AJ6,Mutual Fund
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,,INF917K01HM5,Mutual Fund
ICICI Prudential Mutual Fund,,,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund -Daily IDCW,INF109K01WS5,INF109K01RV9,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund -Weekly IDCW,INF109K01WR7,INF109K01RU1,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Bonus,INF109KA1B57,,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -Daily IDCW,INF109K01Z89,INF109K01Z97,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -Growth,INF109K010A6,,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -Quarterly IDCW,INF109K011A4,INF109K012A2,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -Weekly IDCW,INF109K013A0,INF109K014A8,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,INF109KA1B40,,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,INF109KA1M96,INF109KA1M88,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Growth,INF109K01RT3,,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,INF109K01YE1,INF109K01YD3,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,INF109KA1M70,INF109KA1M62,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,INF109K01WW7,INF109K01JM5,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund Retail Growth,INF109K01II5,,Mutual Fund
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,INF109K01WV9,INF109K01IJ3,Mutual Fund
Invesco Mutual Fund,,,Mutual Fund
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment),,INF205K01JX8,Mutual Fund
Invesco India Banking and PSU Fund - Direct Plan -Growth Option,INF205K01KT4,,Mutual Fund
