scrip_name,symbol,exchange,segment,datetime,side,quantity,price,amount
SUZLON ENERGY LIMITED,SUZLON,NSE,EQ,2022-10-04 00:00:00,BUY,71,0.0,0.0
TATA MOTORS,TATAMOTORS,NSE,EQ,2022-01-24 15:27:53,BUY,2,477.05,954.1
TATA MOTORS,TATAMOTORS,NSE,EQ,2022-01-25 11:56:08,BUY,8,483.8,3870.4
TATA POWER CO LTD,TATAPOWER,NSE,EQ,2021-12-21 00:00:00,BUY,20,214.65,4293.0
TATA POWER CO LTD,TATAPOWER,NSE,EQ,2022-01-24 00:00:00,BUY,10,227.9,2279.0
TRIDENT LIMITED,TRIDENT,NSE,EQ,2021-12-10 00:00:00,BUY,50,56.0,2800.0
TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-03 00:00:00,BUY,10,53.75,537.5
TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-06 00:00:00,BUY,10,53.35,533.5
TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-06 00:00:00,BUY,20,53.6,1072.0
TRIDENT LIMITED,TRIDENT,NSE,EQ,2022-01-21 00:00:00,BUY,10,64.9,649.0
TATA TELESERV(MAHARASTRA),TTML,NSE,EQ,2021-12-24 00:00:00,BUY,10,161.8,1618.0
TATA TELESERV(MAHARASTRA),TTML,NSE,EQ,2021-12-24 00:00:00,BUY,20,161.8,3236.0
VIKAS LIFECARE LIMITED,VIKASLIFE,NSE,EQ,2022-01-05 00:00:00,BUY,100,4.6,460.0
VIKAS LIFECARE LIMITED,VIKASLIFE,NSE,EQ,2022-01-31 00:00:00,BUY,300,6.41,1923.0
WIPRO LTD.,WIPRO,NSE,EQ,2022-01-24 09:50:01,BUY,5,588.25,2941.25
WIPRO LTD.,WIPRO,NSE,EQ,2022-01-24 14:30:26,BUY,5,572.75,2863.75
WIPRO LTD.,WIPRO,NSE,EQ,2022-06-07 14:35:19,BUY,5,467.0,2335.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 09:28:41,BUY,10,101.95,1019.5
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 14:30:28,BUY,10,93.1,931.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-24 15:26:07,BUY,10,90.95,909.5
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-25 11:54:40,BUY,20,99.05,1981.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 10:06:18,BUY,40,93.3,3732.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 14:20:07,BUY,5,91.15,455.75
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-01-27 14:21:01,BUY,3,91.0,273.0
ZOMATO LIMITED,ZOMATO,NSE,EQ,2022-02-16 09:25:10,BUY,2,84.85,169.7
