date,segment,stock_name,holding_quantity,holding_price_avg,holding_amount,close,current_value
2020-09-22,EQ,PNB,30.0,32.95,988.5,28.69,860.7
2020-09-23,EQ,PNB,30.0,32.95,988.5,28.02,840.6
2020-09-24,EQ,PNB,30.0,32.95,988.5,26.78,803.4
2020-09-25,EQ,PNB,30.0,32.95,988.5,27.74,832.2
2020-09-26,EQ,PNB,30.0,32.95,988.5,27.74,832.2
2020-09-27,EQ,PNB,30.0,32.95,988.5,27.74,832.2
2020-09-28,EQ,PNB,30.0,32.95,988.5,28.79,863.7
2020-09-29,EQ,PNB,30.0,32.95,988.5,27.78,833.4
2020-09-30,EQ,PNB,30.0,32.95,988.5,27.26,817.8
2020-10-01,EQ,PNB,30.0,32.95,988.5,26.73,801.9
2020-10-02,EQ,PNB,30.0,32.95,988.5,26.73,801.9
2020-10-03,EQ,PNB,30.0,32.95,988.5,26.73,801.9
2020-10-04,EQ,PNB,30.0,32.95,988.5,26.73,801.9
2020-10-05,EQ,PNB,30.0,32.95,988.5,27.02,810.6
2020-10-06,EQ,PNB,30.0,32.95,988.5,27.07,812.1
2020-10-07,EQ,PNB,30.0,32.95,988.5,26.49,794.7
2020-10-08,EQ,PNB,30.0,32.95,988.5,26.54,796.2
2020-10-09,EQ,PNB,30.0,32.95,988.5,27.59,827.7
2020-10-10,EQ,PNB,30.0,32.95,988.5,27.59,827.7
2020-10-11,EQ,PNB,30.0,32.95,988.5,27.59,827.7
2020-10-12,EQ,PNB,30.0,32.95,988.5,27.16,814.8
2020-10-13,EQ,PNB,30.0,32.95,988.5,26.59,797.7
2020-10-14,EQ,PNB,30.0,32.95,988.5,26.88,806.4
2020-10-15,EQ,PNB,30.0,32.95,988.5,26.45,793.5
2020-10-16,EQ,PNB,30.0,32.95,988.5,26.21,786.3
2020-10-17,EQ,PNB,30.0,32.95,988.5,26.21,786.3
2020-10-18,EQ,PNB,30.0,32.95,988.5,26.21,786.3
2020-10-19,EQ,PNB,30.0,32.95,988.5,26.68,800.4
2020-10-20,EQ,PNB,30.0,32.95,988.5,26.11,783.3
2020-10-21,EQ,PNB,30.0,32.95,988.5,25.97,779.1
2020-10-22,EQ,PNB,30.0,32.95,988.5,25.97,779.1
2020-10-23,EQ,PNB,30.0,32.95,988.5,26.16,784.8
2020-10-24,EQ,PNB,30.0,32.95,988.5,26.16,784.8
2020-10-25,EQ,PNB,30.0,32.95,988.5,26.16,784.8
2020-10-26,EQ,PNB,30.0,32.95,988.5,26.73,801.9
2020-10-27,EQ,PNB,30.0,32.95,988.5,26.11,783.3
2020-10-28,EQ,PNB,30.0,32.95,988.5,25.87,776.1
2020-10-29,EQ,PNB,30.0,32.95,988.5,25.4,762.0
2020-10-30,EQ,PNB,30.0,32.95,988.5,25.54,766.2
2020-10-31,EQ,PNB,30.0,32.95,988.5,25.54,766.2
2020-11-01,EQ,PNB,30.0,32.95,988.5,25.54,766.2
2020-11-02,EQ,PNB,30.0,32.95,988.5,26.68,800.4
2020-11-03,EQ,PNB,30.0,32.95,988.5,26.54,796.2
2020-11-04,EQ,PNB,30.0,32.95,988.5,26.21,786.3
2020-11-05,EQ,PNB,30.0,32.95,988.5,26.45,793.5
2020-11-06,EQ,PNB,30.0,32.95,988.5,26.49,794.7
2020-11-07,EQ,PNB,30.0,32.95,988.5,26.49,794.7
