date,segment,exchange,symbol,scrip_name,holding_quantity,avg_price,holding_amount,open_price,open_amount,high_price,high_amount,low_price,low_amount,close_price,close_amount
2023-12-19,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,337.29,50593.5,337.29,50593.5,329.03,49354.5,334.45,50167.5
2023-12-20,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,725.56,72556.0,728.44,72844.0,698.67,69867.0,700.61,70061.0
2023-12-20,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,335.25,50287.5,345.3,51795.0,316.63,47494.5,318.72,47808.0
2023-12-21,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,698.13,69813.0,707.52,70752.0,691.62,69162.0,704.39,70439.0
2023-12-21,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,316.33,47449.5,329.13,49369.5,311.16,46674.0,326.99,49048.5
2023-12-22,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,712.59,71259.0,726.5,72650.0,707.67,70767.0,720.14,72014.0
2023-12-22,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,329.62,49443.0,330.47,49570.5,322.11,48316.5,325.09,48763.5
2023-12-23,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,712.59,71259.0,726.5,72650.0,707.67,70767.0,720.14,72014.0
2023-12-23,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,329.62,49443.0,330.47,49570.5,322.11,48316.5,325.09,48763.5
2023-12-24,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,712.59,71259.0,726.5,72650.0,707.67,70767.0,720.14,72014.0
2023-12-24,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,329.62,49443.0,330.47,49570.5,322.11,48316.5,325.09,48763.5
2023-12-25,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,712.59,71259.0,726.5,72650.0,707.67,70767.0,720.14,72014.0
2023-12-25,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,329.62,49443.0,330.47,49570.5,322.11,48316.5,325.09,48763.5
2023-12-26,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,722.53,72253.0,723.32,72332.0,712.19,71219.0,715.22,71522.0
2023-12-26,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,327.38,49107.0,329.82,49473.0,323.3,48495.0,323.65,48547.5
2023-12-27,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,722.87,72287.0,737.23,73723.0,720.64,72064.0,736.04,73604.0
2023-12-27,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,325.84,48876.0,328.48,49272.0,320.27,48040.5,323.45,48517.5
2023-12-28,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,738.82,73882.0,753.19,75319.0,734.45,73445.0,749.56,74956.0
2023-12-28,EQ,NSE,TATAPOWER,TATA POWER,150.0,147.49,22124.0,324.55,48682.5,329.47,49420.5,322.46,48369.0,328.08,49212.0
2023-12-29,EQ,NSE,TATAMOTORS,TATA MOTORS,100.0,261.0,26100.4,751.79,75179.0,797.66,79766.0,749.26,74926.0,775.94,77594.0
