date,holding_amount,open_amount,high_amount,low_amount,close_amount
2021-11-26,59061.4,83069.22,83524.09,78598.5,79127.33
2021-11-27,59061.4,83069.22,83524.09,78598.5,79127.33
2021-11-28,59061.4,83069.22,83524.09,78598.5,79127.33
2021-11-29,59061.4,78805.75,80507.47,75858.93,78458.73
2021-11-30,59061.4,79235.39,81381.88,77522.57,78312.59
2021-12-01,59061.4,79416.18,81085.86,78285.59,80452.14
2021-12-02,59061.4,81373.07,81991.67,79706.42,81341.21
2021-12-03,59061.4,81591.9,82750.98,81129.21,81713.24
2021-12-04,59061.4,81591.9,82750.98,81129.21,81713.24
2021-12-05,59061.4,81591.9,82750.98,81129.21,81713.24
2021-12-06,59061.4,81846.82,82170.54,79798.78,80063.83
2021-12-07,59061.4,81127.8,82406.88,80563.23,81959.76
2021-12-08,59061.4,82436.66,83736.38,82174.4,83321.08
2021-12-09,59061.4,83756.39,84319.73,82662.21,83420.07
2021-12-10,59061.4,82908.38,84251.08,82583.8,83625.93
2021-12-11,59061.4,82908.38,84251.08,82583.8,83625.93
2021-12-12,59061.4,82908.38,84251.08,82583.8,83625.93
2021-12-13,59061.4,84332.39,85492.43,83383.89,83670.2
2021-12-14,59061.4,83342.16,83559.4,82135.12,83119.95
2021-12-15,59061.4,83011.84,84181.39,82255.86,82689.29
2021-12-16,59061.4,83276.16,83559.33,81156.11,81968.1
2021-12-17,59061.4,81853.87,81989.88,78853.43,79397.04
2021-12-18,59061.4,81853.87,81989.88,78853.43,79397.04
2021-12-19,59061.4,81853.87,81989.88,78853.43,79397.04
2021-12-20,59061.4,77947.7,78165.32,74411.53,75920.88
2021-12-21,59061.4,76859.39,78152.21,76189.84,76988.62
2021-12-22,59061.4,77640.05,79608.99,77475.49,79343.93
2021-12-23,59061.4,80092.88,80562.25,79305.91,79704.25
2021-12-24,59061.4,80069.7,80149.85,77989.58,78872.41
2021-12-25,59061.4,80069.7,80149.85,77989.58,78872.41
2021-12-26,59061.4,80069.7,80149.85,77989.58,78872.41
2021-12-27,59061.4,78688.05,79576.0,77750.32,79329.44
2021-12-28,59061.4,79902.23,81325.17,79659.52,80999.41
2021-12-29,59061.4,80947.5,81467.66,80001.53,80390.98
2021-12-30,59061.4,80249.8,80806.46,79215.33,79547.43
2021-12-31,59061.4,80249.8,80806.46,79215.33,79547.43
2022-01-01,59061.4,80249.8,80806.46,79215.33,79547.43
2022-01-02,59061.4,80249.8,80806.46,79215.33,79547.43
2022-01-03,59061.4,81689.37,82918.72,81033.92,82561.36
2022-01-04,59061.4,82757.37,83475.28,81168.15,82331.43
2022-01-05,59061.4,82137.9,82958.0,81411.02,82357.52
2022-01-06,59061.4,81534.4,83281.39,80792.2,82623.22
2022-01-07,59061.4,82982.78,84241.47,82185.22,83398.15
2022-01-08,59061.4,82982.78,84241.47,82185.22,83398.15
2022-01-09,59061.4,82982.78,84241.47,82185.22,83398.15
2022-01-10,59061.4,83867.4,85052.0,83375.42,84568.93
2022-01-11,59061.4,84599.61,86176.07,83936.72,85042.34
2022-01-12,59061.4,85754.8,87147.31,85281.73,86335.49
2022-01-13,59061.4,86332.98,88374.52,85222.69,87890.86
2022-01-14,59061.4,87462.38,89408.74,86935.88,88163.36
2022-01-15,59061.4,87462.38,89408.74,86935.88,88163.36
2022-01-16,59061.4,87462.38,89408.74,86935.88,88163.36
2022-01-17,59061.4,88651.23,89943.35,87660.49,89398.98
2022-01-18,59061.4,89830.39,90327.13,86549.32,87068.51
2022-01-19,59061.4,86940.89,89220.76,85853.54,88638.42
2022-01-20,59061.4,88624.02,89349.77,87298.36,88055.8
2022-01-21,59061.4,87288.86,88143.45,84484.25,85444.64
2022-01-22,59061.4,87288.86,88143.45,84484.25,85444.64
2022-01-23,59061.4,87288.86,88143.45,84484.25,85444.64
2022-01-24,59061.4,85268.44,85801.24,80634.45,81577.25
