Date,Open,High,Low,Close,Adj Close,Volume
2019-11-13,127.000000,127.000000,125.510002,125.696999,125.696999,395150
2019-11-14,126.188004,126.188004,124.967003,125.545998,125.545998,1529700
2019-11-15,126.000000,126.690002,125.718002,126.043999,126.043999,1190540
2019-11-18,126.599998,126.599998,125.665001,125.730003,125.730003,208110
2019-11-19,126.495003,126.699997,125.730003,126.396004,126.396004,463920
2019-11-20,126.900002,127.411003,126.526001,126.833000,126.833000,1107130
2019-11-21,127.699997,127.699997,126.496002,126.603996,126.603996,269550
2019-11-22,126.690002,126.690002,125.849998,126.442001,126.442001,367760
2019-11-25,127.099998,127.855003,126.199997,127.737000,127.737000,392920
2019-11-26,129.500000,129.500000,127.309998,127.510002,127.510002,434770
2019-11-27,127.800003,128.190002,127.706001,127.902000,127.902000,396060
2019-11-28,127.800003,128.500000,127.800003,128.406006,128.406006,3503210
2019-11-29,128.600006,128.600006,127.139999,127.513000,127.513000,514200
2019-12-02,127.513000,129.399994,127.375000,127.634003,127.634003,348080
2019-12-03,128.195007,128.195007,126.810997,126.959999,126.959999,287140
2019-12-04,127.300003,127.639000,126.510002,127.469002,127.469002,204580
2019-12-05,127.000000,128.100006,126.705002,127.204002,127.204002,461970
2019-12-06,127.595001,127.595001,126.099998,126.226997,126.226997,310430
2019-12-09,127.195000,127.195000,125.824997,126.325996,126.325996,226550
2019-12-10,126.325996,126.647003,125.595001,125.794998,125.794998,456630
2019-12-11,126.394997,126.478996,125.540001,126.220001,126.220001,337780
2019-12-12,125.500000,127.299004,125.500000,127.109001,127.109001,190810
2019-12-13,127.109001,128.000000,127.103996,127.905998,127.905998,338990
2019-12-16,128.500000,128.500000,127.400002,127.530998,127.530998,230330
2019-12-17,128.294998,128.800003,127.504997,128.615997,128.615997,461080
2019-12-18,128.994995,129.432007,128.210007,129.253998,129.253998,219460
2019-12-19,12.920000,13.033000,12.905000,13.020000,13.020000,2715930
2019-12-20,13.495000,13.495000,12.978000,13.034000,13.034000,2466900
2019-12-23,131.199997,131.250000,129.279999,129.929993,129.929993,318322
2019-12-24,130.850006,130.850006,129.220001,129.449997,129.449997,422110
2019-12-26,130.350006,130.350006,128.509995,128.690002,128.690002,204241
2019-12-27,128.690002,130.649994,128.300003,129.559998,129.559998,233758
2019-12-30,130.449997,130.500000,129.190002,130.259995,130.259995,3175973
2019-12-31,130.210007,130.259995,129.020004,129.149994,129.149994,235878
2020-01-01,128.949997,131.000000,128.949997,129.419998,129.419998,269259
2020-01-02,132.000000,134.600006,129.399994,130.139999,130.139999,329677
2020-01-03,129.070007,130.850006,129.070007,129.710007,129.710007,298681
2020-01-06,129.399994,129.470001,127.110001,127.370003,127.370003,721657
2020-01-07,127.949997,128.699997,127.309998,127.760002,127.760002,743200
2020-01-08,126.589996,127.750000,126.500000,127.559998,127.559998,422774
2020-01-09,128.949997,129.550003,128.350006,129.339996,129.339996,291102
2020-01-10,129.949997,130.199997,129.300003,129.610001,129.610001,426319
2020-01-13,127.000000,130.500000,124.400002,130.410004,130.410004,531373
2020-01-14,130.750000,131.229996,129.800003,131.009995,131.009995,325889
2020-01-15,131.399994,131.449997,130.000000,131.009995,131.009995,318992
2020-01-16,131.449997,131.500000,130.000000,130.910004,130.910004,277915
2020-01-17,131.449997,131.449997,130.500000,131.190002,131.190002,394076
2020-01-20,131.210007,131.500000,129.699997,129.779999,129.779999,769381
2020-01-21,130.350006,130.350006,129.050003,129.270004,129.270004,458654
2020-01-22,131.449997,131.449997,128.220001,128.529999,128.529999,471486
2020-01-23,129.449997,129.449997,128.199997,129.309998,129.309998,184783
2020-01-24,129.259995,130.300003,128.750000,130.110001,130.110001,630671
2020-01-27,129.000000,130.000000,128.550003,128.729996,128.729996,414564
2020-01-28,130.660004,130.660004,127.599998,128.100006,128.100006,826302
2020-01-29,128.750000,129.199997,128.050003,128.759995,128.759995,179693
2020-01-30,128.949997,129.000000,127.500000,127.739998,127.739998,1074097
2020-01-31,127.949997,128.429993,126.900002,127.169998,127.169998,632544
2020-02-03,124.760002,126.000000,123.500000,124.419998,124.419998,1306194
2020-02-04,125.250000,126.930000,124.050003,126.750000,126.750000,331366
2020-02-05,126.099998,128.100006,126.099998,127.910004,127.910004,343990
2020-02-06,127.860001,129.050003,127.550003,128.940002,128.940002,348705
2020-02-07,129.149994,129.149994,127.739998,128.190002,128.190002,512906
2020-02-10,129.850006,129.850006,127.309998,127.910004,127.910004,371411
