exchange,segment,symbol,scrip_name,position,quantity,open_datetime,open_side,open_price,open_amount,close_datetime,close_side,close_price,close_amount,pnl_amount,pnl_percentage,brokerage
FON,FO,NIFTY,NIFTY-CE-24950-01AUG2024,LONG,50.0,2024-07-30 13:11:20,BUY,105.0,5250.0,2024-07-30 13:19:08,SELL,85.0,4250.0,-1000.0,-19.05,51.62
FON,FO,NIFTY,NIFTY-CE-24950-12SEP2024,LONG,100.0,2024-09-12 10:48:21,BUY,75.0,7500.0,2024-09-12 11:23:24,SELL,89.1,8910.0,1410.0,18.8,56.35
FON,FO,NIFTY,NIFTY-CE-24950-12SEP2024,LONG,100.0,2024-09-12 11:25:22,BUY,79.15,7915.0,2024-09-12 12:04:41,SELL,79.75,7975.0,60.0,0.76,55.43
FON,FO,NIFTY,NIFTY-CE-24950-12SEP2024,LONG,25.0,2024-09-12 12:06:43,BUY,74.85,1871.25,2024-09-12 13:05:45,SELL,90.4,2260.0,388.75,20.77,49.52
FON,FO,NIFTY,NIFTY-CE-24950-12SEP2024,LONG,25.0,2024-09-12 12:06:44,BUY,74.85,1871.25,2024-09-12 13:05:45,SELL,90.4,2260.0,388.75,20.77,49.52
FON,FO,NIFTY,NIFTY-CE-24950-12SEP2024,LONG,50.0,2024-09-12 12:06:44,BUY,74.85,3742.5,2024-09-12 13:05:45,SELL,90.5,4525.0,782.5,20.91,51.85
FON,FO,NIFTY,NIFTY-CE-24950-17OCT2024,LONG,100.0,2024-10-11 12:30:58,BUY,155.0,15500.0,2024-10-11 13:17:06,SELL,160.0,16000.0,500.0,3.23,63.7
FON,FO,NIFTY,NIFTY-CE-24950-17OCT2024,LONG,50.0,2024-10-15 13:16:14,BUY,140.0,7000.0,2024-10-15 13:41:10,SELL,149.55,7477.5,477.5,6.82,54.9
FON,FO,NIFTY,NIFTY-CE-24950-17OCT2024,LONG,50.0,2024-10-15 13:16:14,BUY,140.0,7000.0,2024-10-15 13:41:10,SELL,149.6,7480.0,480.0,6.86,54.9
FON,FO,NIFTY,NIFTY-CE-25000-01AUG2024,LONG,75.0,2024-07-29 12:10:20,BUY,100.0,7500.0,2024-07-29 13:15:18,SELL,66.0,4950.0,-2550.0,-34.0,52.39
FON,FO,NIFTY,NIFTY-CE-25000-01AUG2024,LONG,125.0,2024-08-01 14:35:26,BUY,7.0,875.0,2024-08-01 15:20:10,SELL,12.8,1600.0,725.0,82.86,48.83
FON,FO,NIFTY,NIFTY-CE-25000-08AUG2024,EXPIRED,25.0,2024-08-07 10:40:30,BUY,1.9,47.5,2024-08-08 15:30:00,EXPIRED,0.0,0.0,-47.5,-100.0,47.2
FON,FO,NIFTY,NIFTY-CE-25000-10OCT2024,LONG,400.0,2024-10-10 14:16:03,BUY,25.7,10280.0,2024-10-10 14:45:16,SELL,9.15,3660.0,-6620.0,-64.4,51.18
FON,FO,NIFTY,NIFTY-CE-25000-12SEP2024,LONG,50.0,2024-09-11 09:39:17,BUY,80.0,4000.0,2024-09-11 10:47:20,SELL,95.2,4760.0,760.0,19.0,52.09
FON,FO,NIFTY,NIFTY-CE-25000-12SEP2024,LONG,25.0,2024-09-11 13:57:32,BUY,75.0,1875.0,2024-09-12 09:31:24,SELL,80.75,2018.75,143.75,7.67,49.28
FON,FO,NIFTY,NIFTY-CE-25000-12SEP2024,LONG,75.0,2024-09-11 13:57:32,BUY,75.0,5625.0,2024-09-12 09:31:24,SELL,80.8,6060.0,435.0,7.73,53.44
FON,FO,NIFTY,NIFTY-CE-25000-14AUG2024,LONG,100.0,2024-08-08 15:28:33,BUY,5.0,500.0,2024-08-09 10:01:35,SELL,8.3,830.0,330.0,66.0,48.05
FON,FO,NIFTY,NIFTY-CE-25000-17OCT2024,LONG,150.0,2024-10-09 15:00:39,BUY,200.0,30000.0,2024-10-10 09:21:42,SELL,231.7,34755.0,4755.0,15.85,82.92
FON,FO,NIFTY,NIFTY-CE-25000-17OCT2024,LONG,100.0,2024-10-14 14:36:43,BUY,208.95,20895.0,2024-10-15 09:30:59,SELL,214.0,21400.0,505.0,2.42,69.27
FON,FO,NIFTY,NIFTY-CE-25000-17OCT2024,LONG,100.0,2024-10-15 11:28:42,BUY,124.1,12410.0,2024-10-15 12:08:44,SELL,134.65,13465.0,1055.0,8.5,61.06
FON,FO,NIFTY,NIFTY-CE-25000-17OCT2024,LONG,100.0,2024-10-16 09:25:55,BUY,99.15,9915.0,2024-10-16 09:51:47,SELL,127.15,12715.0,2800.0,28.24,60.24
FON,FO,NIFTY,NIFTY-CE-25000-17OCT2024,LONG,100.0,2024-10-16 09:55:27,BUY,140.9,14090.0,2024-10-16 10:05:36,SELL,117.0,11700.0,-2390.0,-16.96,59.35
FON,FO,NIFTY,NIFTY-CE-25000-24OCT2024,LONG,75.0,2024-10-21 11:20:08,BUY,40.0,3000.0,2024-10-21 14:05:52,SELL,50.75,3806.25,806.25,26.88,51.1
FON,FO,NIFTY,NIFTY-CE-25000-24OCT2024,LONG,125.0,2024-10-21 11:20:08,BUY,40.0,5000.0,2024-10-21 14:05:52,SELL,50.8,6350.0,1350.0,27.0,53.71
FON,FO,NIFTY,NIFTY-CE-25000-24OCT2024,LONG,200.0,2024-10-22 09:47:47,BUY,50.0,10000.0,2024-10-24 15:11:46,SELL,0.05,10.0,-9990.0,-99.9,47.52
FON,FO,NIFTY,NIFTY-CE-25000-24OCT2024,LONG,200.0,2024-10-22 10:17:00,BUY,25.0,5000.0,2024-10-24 15:11:46,SELL,0.05,10.0,-4990.0,-99.8,47.37
FON,FO,NIFTY,NIFTY-CE-25000-24OCT2024,LONG,800.0,2024-10-23 09:19:24,BUY,7.85,6280.0,2024-10-24 15:11:46,SELL,0.05,40.0,-6240.0,-99.36,47.43
FON,FO,NIFTY,NIFTY-CE-25000-29AUG2024,LONG,25.0,2024-08-27 10:37:47,BUY,99.7,2492.5,2024-08-27 11:23:48,SELL,130.35,3258.75,766.25,30.74,50.54
FON,FO,NIFTY,NIFTY-CE-25000-29AUG2024,LONG,25.0,2024-08-27 14:48:56,BUY,100.0,2500.0,2024-08-28 11:26:25,SELL,120.0,3000.0,500.0,20.0,50.28
FON,FO,NIFTY,NIFTY-CE-25100-10OCT2024,LONG,100.0,2024-10-07 09:25:40,BUY,186.55,18655.0,2024-10-07 11:02:54,SELL,100.45,10045.0,-8610.0,-46.15,57.83
FON,FO,NIFTY,NIFTY-CE-25100-10OCT2024,LONG,100.0,2024-10-07 10:43:43,BUY,139.05,13905.0,2024-10-07 11:02:54,SELL,100.45,10045.0,-3860.0,-27.76,57.69
